Price,Location,Number of Rooms,Area,Floor
330000,Nəsimi r.,4 otaqlı,140 m²,3/6 mərtəbə
168000,Nərimanov r.,3 otaqlı,80 m²,17/17 mərtəbə
305000,Gənclik m.,3 otaqlı,110 m²,10/17 mərtəbə
140000,Əhmədli q.,2 otaqlı,85 m²,14/19 mərtəbə
103000,Hövsan q.,4 otaqlı,6 m²,23/25 mərtəbə
460000,Badamdar q.,N/A,N/A,N/A
345000,Elmlər Akademiyası m.,3 otaqlı,137 m²,10/15 mərtəbə
117000,Nəsimi m.,2 otaqlı,55 m²,5/5 mərtəbə
153000,Yeni Yasamal q.,2 otaqlı,73 m²,11/17 mərtəbə
1450000,Nardaran q.,N/A,N/A,N/A
228000,Şah İsmayıl Xətai m.,2 otaqlı,82 m²,9/20 mərtəbə
215000,Novxanı q.,N/A,N/A,N/A
55000,Qala q.,N/A,N/A,N/A
660000,Mərdəkan q.,N/A,N/A,N/A
215000,Şüvəlan q.,N/A,N/A,N/A
970000,İçəri Şəhər m.,4 otaqlı,3 m²,3/16 mərtəbə
88000,Şüvəlan q.,N/A,N/A,N/A
210000,7-ci mikrorayon q.,3 otaqlı,100 m²,3/17 mərtəbə
160000,8-ci kilometr q.,3 otaqlı,82 m²,10/11 mərtəbə
230000,Mərdəkan q.,N/A,N/A,N/A
252000,Qala q.,N/A,N/A,N/A
185000,Şüvəlan q.,N/A,N/A,N/A
90000,Şüvəlan q.,N/A,N/A,N/A
165000,Şüvəlan q.,N/A,N/A,N/A
251000,Nərimanov r.,2 otaqlı,1 m²,15/17 mərtəbə
185000,Qala q.,N/A,N/A,N/A
275000,Qara Qarayev m.,3 otaqlı,118 m²,13/17 mərtəbə
57000,Şüvəlan q.,N/A,N/A,N/A
195000,Şüvəlan q.,N/A,N/A,N/A
285000,Şüvəlan q.,N/A,N/A,N/A
55000,Abşeron r.,N/A,N/A,N/A
105400,Novxanı q.,N/A,N/A,N/A
300000,Şüvəlan q.,N/A,N/A,N/A
188000,Nəriman Nərimanov m.,2 otaqlı,60 m²,15/17 mərtəbə
185000,Memar Əcəmi m.,2 otaqlı,3 m²,13/16 mərtəbə
430000,Şah İsmayıl Xətai m.,3 otaqlı,143 m²,7/12 mərtəbə
650000,28 May m.,3 otaqlı,195 m²,15/19 mərtəbə
390000,28 May m.,4 otaqlı,185 m²,11/18 mərtəbə
273000,8 Noyabr m.,2 otaqlı,125 m²,6/10 mərtəbə
82000,Xırdalan,3 otaqlı,60 m²,7/12 mərtəbə
205000,Elmlər Akademiyası m.,3 otaqlı,65 m²,3/5 mərtəbə
174800,Azadlıq Prospekti m.,3 otaqlı,85 m²,2/9 mərtəbə
145000,Binəqədi q.,N/A,N/A,N/A
125000,Neftçilər m.,2 otaqlı,65 m²,9/17 mərtəbə
125000,İnşaatçılar m.,2 otaqlı,62 m²,15/18 mərtəbə
122500,28 May m.,N/A,N/A,N/A
1200000,Binəqədi r.,N/A,N/A,N/A
185000,Nərimanov r.,2 otaqlı,68 m²,16/19 mərtəbə
140000,Nəriman Nərimanov m.,2 otaqlı,70 m²,1/3 mərtəbə
74500,Elmlər Akademiyası m.,1 otaqlı,52 m²,12/18 mərtəbə
69633,Lənkəran,2 otaqlı,4 m²,2/7 mərtəbə
205000,Şah İsmayıl Xətai m.,2 otaqlı,86 m²,3/16 mərtəbə
1950000,Nəriman Nərimanov m.,5 otaqlı,285 m²,4/16 mərtəbə
98000,Zığ q.,2 otaqlı,54 m²,11/11 mərtəbə
90000,Xaçmaz,N/A,N/A,N/A
385000,Nardaran q.,3 otaqlı,110 m²,3/4 mərtəbə
495000,Badamdar q.,N/A,N/A,N/A
289000,Xətai r.,4 otaqlı,7 m²,9/17 mərtəbə
270000,İnşaatçılar m.,4 otaqlı,142 m²,18/20 mərtəbə
1000000,Mərdəkan q.,N/A,N/A,N/A
61500,Xırdalan,1 otaqlı,42 m²,1/9 mərtəbə
220000,Səbail r.,N/A,N/A,N/A
206000,28 May m.,2 otaqlı,3 m²,2/5 mərtəbə
535000,Ağ şəhər q.,3 otaqlı,135 m²,9/20 mərtəbə
600000,Şah İsmayıl Xətai m.,4 otaqlı,200 m²,20/20 mərtəbə
140000,Əhmədli q.,2 otaqlı,85 m²,14/19 mərtəbə
691000,28 May m.,5 otaqlı,8 m²,4/16 mərtəbə
155000,Mehdiabad q.,N/A,N/A,N/A
163000,Səbail r.,3 otaqlı,7 m²,3/5 mərtəbə
118000,Bakıxanov q.,2 otaqlı,60 m²,3/5 mərtəbə
168000,Nəsimi r.,2 otaqlı,7 m²,2/17 mərtəbə
277000,Memar Əcəmi m.,3 otaqlı,7 m²,9/17 mərtəbə
137000,İnşaatçılar m.,3 otaqlı,7 m²,15/18 mərtəbə
215000,Nəriman Nərimanov m.,3 otaqlı,75 m²,2/5 mərtəbə
160000,Yeni Yasamal q.,3 otaqlı,5 m²,7/16 mərtəbə
223000,Nəsimi r.,2 otaqlı,7 m²,15/18 mərtəbə
175000,Şah İsmayıl Xətai m.,2 otaqlı,60 m²,2/7 mərtəbə
178000,Həzi Aslanov m.,2 otaqlı,90 m²,2/16 mərtəbə
250000,Neftçilər m.,2 otaqlı,105 m²,6/17 mərtəbə
205000,Masazır q.,N/A,N/A,N/A
123000,Həzi Aslanov q.,2 otaqlı,49 m²,2/6 mərtəbə
260000,28 May m.,3 otaqlı,130 m²,10/16 mərtəbə
900000,Şah İsmayıl Xətai m.,3 otaqlı,197 m²,10/27 mərtəbə
49149,Lənkəran,1 otaqlı,6 m²,5/7 mərtəbə
189999,Xətai r.,2 otaqlı,80 m²,6/17 mərtəbə
65000,İçəri Şəhər m.,1 otaqlı,23 m²,1/2 mərtəbə
180000,Neftçilər m.,2 otaqlı,85 m²,11/17 mərtəbə
85000,Masazır q.,N/A,N/A,N/A
58000,Masazır q.,N/A,N/A,N/A
820000,Səbail r.,N/A,N/A,N/A
1700000,Bilgəh q.,N/A,N/A,N/A
